,NO_IES,SG_IES,NO_MANTENEDORA,TP_CAT_ADM_NAME,TP_ORG_ACAD_NAME,NU_ANO_CENSO,QT_CARGA_HORARIA_TOTAL,QT_VAGA_TOTAL,QT_INSCRITO_TOTAL,TOTAL_ALUNOS,ALUNOS_TRANSF,CO_LOCAL_OFERTA,UF,MUNICIPIO,IN_CAPITAL,NO_CURSO,IN_GRATUITO,DT_INICIO_FUNCIONAMENTO,DT_AUTORIZACAO_CURSO,IN_OFERECE_DISC_SEMI_PRES,NU_PERC_CARGA_SEMI_PRES,IN_INGRESSO_VESTIBULAR,IN_INGRESSO_ENEM,IN_INGRESSO_AVALIACAO_SERIADA,IN_INGRESSO_SELECAO_SIMPLIFICA,IN_INGRESSO_OUTRO_TIPO_SELECAO,IN_INGRESSO_VAGA_REMANESC,IN_INGRESSO_VAGA_PROG_ESPECIAL,IN_INGRESSO_TRANSF_EXOFFICIO,IN_INGRESSO_DECISAO_JUDICIAL,IN_INGRESSO_CONVENIO_PECG,IN_INGRESSO_EGRESSO,IN_INGRESSO_OUTRA_FORMA,IN_RESERVA_VAGAS,IN_RESERVA_ETNICO,IN_RESERVA_DEFICIENCIA,IN_RESERVA_ENSINO_PUBLICO,IN_RESERVA_RENDA_FAMILIAR,IN_RESERVA_OUTRA,IN_FINANCIAMENTO_ESTUDANTIL,IN_FIN_REEMB_FIES,IN_FIN_REEMB_ESTADUAL,IN_FIN_REEMB_MUNICIPAL,IN_FIN_REEMB_PROG_IES,IN_FIN_REEMB_ENT_EXTERNA,IN_FIN_REEMB_OUTRA,IN_FIN_NAOREEMB_PROUNI_INTEGR,IN_FIN_NAOREEMB_PROUNI_PARCIAL,IN_FIN_NAOREEMB_ESTADUAL,IN_FIN_NAOREEMB_MUNICIPAL,IN_FIN_NAOREEMB_PROG_IES,IN_FIN_NAOREEMB_ENT_EXTERNA,IN_FIN_NAOREEMB_OUTRA,IN_ATIVIDADE_EXTRACURRICULAR,IN_COMPLEMENTAR_ESTAGIO,IN_COMPLEMENTAR_EXTENSAO,IN_COMPLEMENTAR_MONITORIA,IN_COMPLEMENTAR_PESQUISA,IN_BOLSA_ESTAGIO,IN_BOLSA_EXTENSAO,IN_BOLSA_MONITORIA,IN_BOLSA_PESQUISA,IN_MOBILIDADE_ACADEMICA,IN_MATRICULA,IN_CONCLUINTE,IN_INGRESSO_TOTAL,QT_INSC_VAGA_NOVA_INTEGRAL,QT_INSC_VAGA_REMAN_INTEGRAL,QT_INSC_PROG_ESP_INTEGRAL,QT_VAGAS_NOVAS_INTEGRAL,QT_VAGAS_REMAN_INTEGRAL,QT_VAGAS_PROG_ESP_INTEGRAL,QT_INGRESSO_TOTAL,QT_INGRESSO_VAGA_NOVA,QT_MATRICULA_TOTAL,QT_CONCLUINTE_TOTAL,CO_MANTENEDORA,CO_IES,CO_CURSO,CO_UF,CO_MUNICIPIO
0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,Pública Federal,Universidade,2018,8822,81,2806,496,0,105340.0,Mato Grosso,Cuiabá,1.0,MEDICINA,1,03/11/1978,,0.0,,1,474,0,0,0.0,16,0,5,0,0,0,0.0,239,150.0,8.0,235.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,0.0,144.0,23.0,44.0,0.0,8.0,8.0,22.0,0.0,496,81,73,2805.0,1.0,0.0,80.0,1.0,0.0,76,74,496,81,1,1,12,51.0,5103403.0
1,UNIVERSIDADE DE CUIABÁ,UNIC/UNIME,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada com fins lucrativos,Universidade,2018,8700,157,1055,510,0,658099.0,Mato Grosso,Cuiabá,1.0,MEDICINA,0,04/08/1997,,0.0,,451,21,0,1,0.0,37,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,405.0,205.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,193.0,34.0,0.0,68,0.0,0.0,0.0,68.0,0.0,0.0,0.0,9.0,0.0,510,58,125,964.0,91.0,0.0,131.0,26.0,0.0,157,131,510,58,14514,780,18472,51.0,5103403.0
2,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,Pública Federal,Universidade,2018,7552,40,2245,157,0,1005348.0,Mato Grosso,Rondonópolis,0.0,MEDICINA,1,04/04/2014,,0.0,,2,153,0,0,0.0,1,0,1,0,0,0,0.0,82,55.0,3.0,80.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,32.0,32.0,23.0,0.0,1.0,12.0,13.0,0.0,157,0,27,2245.0,0.0,0.0,40.0,0.0,0.0,37,37,157,0,1,1,1261971,51.0,5107602.0
3,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,Pública Federal,Universidade,2018,7552,60,2505,248,0,105345.0,Mato Grosso,Sinop,0.0,MEDICINA,1,14/04/2014,,0.0,,0,247,0,0,0.0,1,0,0,0,0,0,0.0,123,84.0,1.0,123.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,0.0,132.0,43.0,46.0,0.0,11.0,11.0,17.0,0.0,248,0,37,2505.0,0.0,0.0,60.0,0.0,0.0,56,56,248,0,1,1,1261972,51.0,5107909.0
4,UNIVERSIDADE DE BRASÍLIA,UNB,FUNDACAO UNIVERSIDADE DE BRASILIA,Pública Federal,Universidade,2018,7200,85,4879,579,0,4229.0,Distrito Federal,Brasília,1.0,MEDICINA,1,01/03/1962,,0.0,,273,86,155,0,0.0,1,0,48,0,16,0,0.0,227,168.0,2.0,166.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476,5.0,461.0,179.0,75.0,5.0,6.0,61.0,16.0,0.0,579,98,96,4879.0,0.0,0.0,80.0,5.0,0.0,97,82,579,98,2,2,140,53.0,5300108.0
5,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,UNIAO BRASILEIRA DE EDUCACAO CATOLICA,Privada sem fins lucrativos,Universidade,2018,7500,112,4114,641,0,657876.0,Distrito Federal,Brasília,1.0,MEDICINA,0,15/08/2001,,1.0,5.0,500,83,0,0,0.0,43,0,12,3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,280.0,211.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,4.0,0.0,0.0,251,4.0,24.0,227.0,20.0,4.0,0.0,1.0,20.0,0.0,641,89,136,3905.0,209.0,0.0,100.0,12.0,0.0,140,124,641,89,278,403,48854,53.0,5300108.0
6,CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS,UNICEPLAC,UNIAO EDUCACIONAL DO PLANALTO CENTRAL S.A,Privada com fins lucrativos,Centro Universitário,2018,8034,148,1483,758,3,25918.0,Distrito Federal,Brasília,1.0,MEDICINA,0,02/04/2002,,0.0,,567,101,0,0,0.0,88,0,1,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,296.0,211.0,0.0,0.0,1.0,0.0,0.0,72.0,23.0,0.0,0.0,10.0,0.0,0.0,273,0.0,152.0,137.0,36.0,0.0,1.0,1.0,1.0,0.0,758,75,179,1406.0,77.0,0.0,120.0,28.0,0.0,183,155,758,75,449,5439,51835,53.0,5300108.0
7,ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE,ESCS,FUNDACAO DE ENSINO E PESQUISA EM CIENCIAS DA SAUDE,Pública Estadual,Faculdade,2018,10010,80,3464,568,0,659421.0,Distrito Federal,Brasília,1.0,MEDICINA,1,10/08/2001,,0.0,,321,224,0,3,0.0,0,0,17,4,0,0,0.0,219,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0.0,0.0,51.0,55.0,0.0,0.0,20.0,55.0,0.0,568,152,78,3464.0,0.0,0.0,80.0,0.0,0.0,82,80,568,152,2048,3223,58412,53.0,5300108.0
8,CENTRO UNIVERSITÁRIO DE BRASÍLIA,UNICEUB,CENTRO DE ENSINO UNIFICADO DE BRASILIA CEUB,Privada sem fins lucrativos,Centro Universitário,2018,7940,128,1786,572,0,657875.0,Distrito Federal,Brasília,1.0,MEDICINA,0,01/08/2013,,1.0,2.64,527,21,0,0,0.0,17,0,7,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,251.0,150.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,188.0,6.0,0.0,128,1.0,38.0,34.0,77.0,1.0,2.0,0.0,37.0,0.0,572,0,109,1714.0,72.0,0.0,107.0,21.0,0.0,114,107,572,0,277,402,1135207,53.0,5300108.0
9,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,Pública Federal,Universidade,2018,7545,101,2586,637,0,1451.0,Sergipe,Aracaju,1.0,MEDICINA,1,20/03/1961,,0.0,,619,0,0,0,0.0,13,0,1,4,0,0,0.0,236,175.0,16.0,231.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157,1.0,25.0,4.0,135.0,1.0,8.0,4.0,40.0,0.0,637,91,100,2585.0,1.0,0.0,100.0,1.0,0.0,103,100,637,91,3,3,303,28.0,2800308.0
